file,mse_mm_x,mse_mm_y,mse_mm_z,mse_us_x,mse_us_y,mse_us_z,mae_mm_x,mae_mm_y,mae_mm_z,mae_us_x,mae_us_y,mae_us_z
branch.obj,8.983184729166263e-07,1.173721059976608e-06,2.725392345895e-07,2.2970399774911926e-06,2.4496002808894303e-06,2.2715690945238055e-06,0.000818670534695198,0.0009330417294175057,0.00045028796551734506,0.001297137758291712,0.0013686973992361497,0.0013085873008436882
cylinder.obj,1.1949387631550368e-06,0.0,1.1949387631550368e-06,2.525702349479517e-06,2.669286101270609e-06,2.5257023494794822e-06,0.0009164222873900216,0.0,0.0009164222873900216,0.0013824181634276992,0.0013824181634277122,0.0013824181634276868
explosive.obj,5.2543402568433e-08,2.720551375193651e-07,4.797175638121446e-08,4.2108638065860313e-07,4.6484795040501596e-07,3.974054700215148e-07,0.00019609583070393622,0.00043841222556311046,0.0001911701697800098,0.0005543733308897994,0.0006209738129634406,0.0005475619179503552
fence.obj,2.636107364728589e-07,2.0694012050312048e-07,8.5209594695046e-11,4.089326633797437e-07,3.4458829533800574e-07,3.1895575232796585e-07,0.00042580521222883083,0.00038879265516962504,3.874196238801295e-06,0.0005321488016124945,0.0004638398457125604,0.00048587499277641356
girl.obj,3.1480200226874476e-07,2.594645625615357e-07,4.2003657234661554e-08,3.5490057376427947e-07,3.7812600180831815e-07,3.487931255903199e-07,0.0004907377713773688,0.00044145440685659516,0.0001774135672392133,0.0005192639840961358,0.00053926892236524,0.0005081501295019637
person.obj,9.083780687073368e-07,1.3971271366607855e-06,6.155291767394302e-08,1.93167230126595e-06,1.7254298323899302e-06,1.705013846820056e-06,0.0008200550924989865,0.001040174264297238,0.00021490456525035832,0.0012113278250829769,0.0011336115426380101,0.0011164242878925876
table.obj,4.331020767845622e-08,1.030992184993578e-07,3.000244119927595e-07,4.678687826287257e-07,4.6817462052323864e-07,4.738102282183812e-07,0.0001638231939222565,0.00027134223252734546,0.0004850482268684305,0.000599927585765098,0.0005995483647841596,0.0005972730389246907
talwar.obj,1.3872481530843534e-09,3.7258767946683064e-07,1.8060393452584365e-08,6.378172913025911e-07,5.97972413511807e-07,5.702417973836384e-07,3.1514504295319584e-05,0.0005370669020616219,0.00011662957800452717,0.0006894025516470312,0.0006690421691422714,0.0006470529560350665
